Title,Artists,Album,Album Release Date
RIP (feat. G-Eazy & Drew Love),"[""Olivia O'Brien"", 'G-Eazy', 'Drew Love']",RIP (feat. G-Eazy & Drew Love),2018-06-29
17,['Spencer Barnett'],17,2019-02-22
Tumbala,['Chimbala'],Tumbala,2018-11-16
With You,"['Jay Sean', 'Gucci Mane', 'Asian Doll']",With You,2019-03-08
Hear Me Calling,['Juice WRLD'],Hear Me Calling,2019-03-01
Empty,['Juice WRLD'],Death Race For Love,2019-03-08
I,['Lil Skies'],Shelby,2019-03-01
Name in the Sand,['Lil Skies'],Name in the Sand,2019-01-31
Wake Up,"['Egzod', 'Chris Linton']",Wake Up,2017-08-01
sadboi,['JORI SJÖROOS'],sadboi,2019-01-25
Bank Account,['21 Savage'],Issa Album,2017-09-23
Chanel Slides (feat. Kash Doll),"['Dreezy', 'Kash Doll']",Big Dreez,2019-01-25
Stressed,"['Take A Daytrip', 'Octavian']",Stressed,2019-01-14
ATA,"['USHER', 'Zaytoven']","""A""",2018-10-12
Let's Get Lost (feat. Devon Baldwin),"['G-Eazy', 'Devon Baldwin']",These Things Happen,2014-06-20
False Alarm,['The Weeknd'],Starboy,2016-11-25
First Off (feat. Travis Scott),"['Future', 'Travis Scott']",Future Hndrxx Presents: The WIZRD,2019-01-18
Never Stop,['Future'],Future Hndrxx Presents: The WIZRD,2019-01-18
whoa (mind in awe),['XXXTENTACION'],SKINS,2018-12-07
Mo Bamba,['Sheck Wes'],MUDBOY,2018-10-05
Watch Me Fall,['Lil Xan'],Watch Me Fall,2019-01-03
I've Been Thinking,['La Santa Cecilia'],I've Been Thinking,2019-10-04
Runnin' Thru The 7th With My Woadies,"['$uicideboy$', 'Pouya']",$outh $ide $uicide,2015-09-01
Man Of The Year,['ScHoolboy Q'],Oxymoron (Deluxe),2014-01-01
Carrollton,['$uicideboy$'],I Want To Die In New Orleans,2018-09-07
2nd Hand,['$uicideboy$'],KILL YOURSELF Part XII: The Dark Glacier Saga,2017-05-23
Distorted Records,['A$AP Rocky'],TESTING,2018-05-25
Canal St. (feat. Bones),"['A$AP Rocky', 'BONES']",AT.LONG.LAST.A$AP,2015-05-26
Electric Body (feat. ScHoolboy Q),"['A$AP Rocky', 'ScHoolboy Q']",AT.LONG.LAST.A$AP,2015-05-26
LVL,['A$AP Rocky'],LONG.LIVE.A$AP (Deluxe Version),2013
Long Live A$AP,['A$AP Rocky'],LONG.LIVE.A$AP (Deluxe Version),2013
Shutdown,['Skepta'],Konnichiwa,2016-05-06
Low,"['Mura Masa', 'Jay Prince']",Someday Somewhere,2015-04-10
Saturne,"['Nekfeu', 'Sneazzy', 'S.Pri Noir']",Cyborg,2016-12-02
GOLD,['BROCKHAMPTON'],SATURATION,2017-06-09
Kilipää steelo,['Lauri Haav'],Nyt ja heti EP,2019-05-03
Campfire,"['Aminé', 'Injury Reserve']",Campfire,2018-04-06
Chateau,"['Jaden', 'A$AP Rocky']",ERYS (Deluxe),2019-07-05
Hollywood Whore,['mgk'],Hotel Diablo,2019-07-05
Barbie Doll,['Night Lovell'],Red Teenage Melody,2016-06-14
Bädäss,"['Lauri Haav', 'Gettomasa']",Kilipää,2018-07-09
Jeesei,"['Gettomasa', 'Paperi T', 'Lauri Haav']",Jeesei,2019-12-13
Breathe,"['CamelPhat', 'Cristoph', 'Jem Cooke']",Breathe,2018-11-16
Blasé (feat. Future & Rae Sremmurd) - Louis the Child Remix,"['Ty Dolla $ign', 'Future', 'Rae Sremmurd', 'Louis The Child']",Blasé (feat. Future & Rae Sremmurd) [Remixes],2015-11-13
Rabbit Hole,"['CamelPhat', 'Jem Cooke']",Rabbit Hole,2019-11-08
The Power,"['Duke Dumont', 'Zak Abel']",The Power,2019-08-09
I Feel Ya,"['Cheat Codes', 'Danny Quest', 'Ina Wroldsen']",I Feel Ya,2019-05-17
Better Together,"['Hayden James', 'Running Touch']",Between Us,2019-06-14
Working For It,"['ZHU', 'Skrillex', 'THEY.']",GENERATIONWHY,2016-07-29
Faded,['ZHU'],Nightday (EP),2014-09-01
Somebody,"['Sigala', 'HRVY', 'Nina Nesbitt']",Brighter Days,2018-09-28
Panic Room,"['Au/Ra', 'CamelPhat']",Panic Room,2018-07-28
Oceans,"['CAZZETTE', 'Leo Stannard']",Oceans,2017-01-27
Turn Me On (feat. Vula),"['Riton', 'Oliver Heldens', 'Vula']",Turn Me On (feat. Vula),2019-09-13
Harleys In Hawaii,['Katy Perry'],Harleys In Hawaii,2019-10-16
Teeth,['5 Seconds of Summer'],13 Reasons Why (Season 3),2019-08-23
Midnight Hour with Boys Noize & Ty Dolla $ign,"['Skrillex', 'Boys Noize', 'Ty Dolla $ign']",Midnight Hour with Boys Noize & Ty Dolla $ign,2019-08-29
RICKY,['Denzel Curry'],ZUU,2019-05-31
do re mi,['blackbear'],digital druglord,2017-04-21
Stay (feat. Njomza & Bipolar Sunshine),"['Devault', 'NJOMZA', 'Bipolar Sunshine']",Stay,2018-11-02
Sunburn,['DROELOE'],A Moment In Time,2017-08-22
"That's My N**** (with Meek Mill, YG & Snoop Dogg)","['Meek Mill', 'YG', 'Snoop Dogg']","That's My N**** (with Meek Mill, YG & Snoop Dogg) [From Bright: The Album]",2017-12-15
Min väg,"['SINAN', 'Matte Caliste']",Min väg,2018-10-31
Lord Knows (feat. Tory Lanez),"['Meek Mill', 'Tory Lanez']",Dreams Worth More Than Money,2015-06-29
Blue Notes,['Meek Mill'],DC4,2016-10-28
I Follow Rivers - The Magician Remix,"['Lykke Li', 'The Magician']",I Follow Rivers (Remixes),2011-02-18
Intro,['Meek Mill'],Championships,2018-11-30
Pray For Me (with Kendrick Lamar),"['The Weeknd', 'Kendrick Lamar']",Black Panther The Album Music From And Inspired By,2018-02-09
Friday Night,['Burak Yeter'],Friday Night,2019-07-12
Shameless,['The Weeknd'],Beauty Behind The Madness,2015-08-28
Call Out My Name,['The Weeknd'],"My Dear Melancholy,",2018-03-30
Hurt You,"['The Weeknd', 'Gesaffelstein']","My Dear Melancholy,",2018-03-30
Wasted Times,['The Weeknd'],"My Dear Melancholy,",2018-03-30
Sign of the Times,['Harry Styles'],Harry Styles,2017-05-12
Lying Down,['Céline Dion'],Imperfections / Lying Down / Courage,2019-09-18
I've Been Waiting (w/ ILoveMakonnen & Fall Out Boy),"['Lil Peep', 'ILOVEMAKONNEN', 'Fall Out Boy']",I've Been Waiting (w/ ILoveMakonnen & Fall Out Boy),2019-01-31
Bad Romance,['Lady Gaga'],The Fame Monster (Deluxe Edition),2009-11-05
gone girl,"['iann dior', 'Trippie Redd']",gone girl,2019-07-04
No Church In The Wild,"['JAY-Z', 'Kanye West', 'Frank Ocean', 'The-Dream']",Watch The Throne,2011-08-08
Run This Town,"['JAY-Z', 'Rihanna', 'Kanye West']",The Blueprint 3,2009-09-08
Ni**as In Paris,"['JAY-Z', 'Kanye West']",Watch The Throne,2011-08-08
Ain't Gonna Die Tonight (feat. Eric Nally),"['Macklemore', 'Eric Nally']",GEMINI,2017-09-22
"The Island, Pt. 1 (Dawn) - Skrillex Remix","['Pendulum', 'Skrillex']",The Reworks,2018-06-29
Where Them Girls At (feat. Nicki Minaj & Flo Rida),"['David Guetta', 'Flo Rida', 'Nicki Minaj']",Nothing but the Beat (Ultimate Edition),2012-12-07
Jenny from the Block (feat. Jadakiss & Styles P.) - Track Masters Remix,"['Jennifer Lopez', 'Jadakiss', 'Styles P']",This Is Me...Then,2002
Crossfire,['Stephen'],Sincerely,2016-05-10
Remembering Myself,['Stephen'],Sincerely,2016-05-10
Styroxista rakennettu talo,"['Pyhimys', 'Saimaa']",Olisinpa täällä,2019-05-10
Kas vain,"['Pyhimys', 'Saimaa']",Olisinpa täällä,2019-05-10
Optinen harha (feat. Ellips),"['Pyhimys', 'Saimaa', 'Ellips']",Olisinpa täällä,2019-05-10
Ime huiluu,['Gasellit'],Kiittämätön,2012-04-09
Spaceships,['AREA21'],Spaceships,2016-04-08
Glad You Came,['AREA21'],Glad You Came,2017-12-01
HELP,['AREA21'],HELP,2019-03-08
We Did It,['AREA21'],We Did It,2017-06-23
Girls,['AREA21'],Girls,2016-05-20
Wizard,"['Martin Garrix', 'Jay Hardway']",Wizard,2013-12-16
Golden Pineapple,['Jay Hardway'],Golden Pineapple,2017-05-29
EDM Bubble,"['Jay Hardway', 'Mike Cervello']",EDM Bubble,2018-10-01
Spotless,"['Martin Garrix', 'Jay Hardway']",Spotless,2016-10-17
No Guidance (feat. Drake),"['Chris Brown', 'Drake']",No Guidance (feat. Drake),2019-06-08
Sekaisin Sarasta,['Lucas'],Lucas,2016-08-26
Panini - DaBaby Remix,"['Lil Nas X', 'DaBaby']",Panini,2019-09-13
Moonlight,['XXXTENTACION'],?,2018-03-16
T-Shirt,['Migos'],T-Shirt,2017-01-13
Mercury: Retrograde,['Ghostemane'],Hexada,2017-09-05
Red Roses - LIOHN's Tokyo Drift Remix,"['Lil Skies', 'LIOHN']",Red Roses (LIOHN's Tokyo Drift Remix),2018-07-25
Rip X,['iamjakehill'],Rip X,2018-06-21
Death Note,"['Lil Gnar', 'Lil Skies', 'Craig Xen']",FIRE HAZARD,2019-09-20
My Last Words,['Dax'],My Last Words,2019-04-05
F.N,['Lil Tjay'],True 2 Myself,2019-10-11
DJ Got Us Fallin' In Love (feat. Pitbull),"['USHER', 'Pitbull']",Raymond v Raymond (Expanded Edition),2010-03-30
La La La (feat. Wiz Khalifa),"['Dorrough Music', 'Wiz Khalifa']",La La La (feat. Wiz Khalifa),2013-12-04
Worth It,['YK Osiris'],Worth It,2019-02-08
3 Nights,['Dominic Fike'],"Don't Forget About Me, Demos",2018-10-16
Huuda!,['Haloo Helsinki!'],Maailma on tehty meitä varten,2013-11-22
bad vibes forever (feat. PnB Rock & Trippie Redd),"['XXXTENTACION', 'PnB Rock', 'Trippie Redd']",Bad Vibes Forever,2019-12-06
Let Me Know (I Wonder Why Freestyle),['Juice WRLD'],Let Me Know (I Wonder Why Freestyle),2019-12-07
Shotta Flow 3,['NLE Choppa'],Shotta Flow 3,2019-07-23
Se jonka mä päästin karkuun,['Erakossa'],Nollauspäivä,2016-09-30
KIRPPARINARKKARI,['ibe'],Vika Päivä / KIRPPARINARKKARI,2017-06-02
KUU-UKKO,['ibe'],NONSENSE,2018-05-01
Armo,['Apulanta'],Kiila,2005-03-16
TÄN KAA (feat. BIZI),"['Cledos', 'Bizi']",TÄN KAA,2019-11-01
Made in Italy,"['Cledos', 'Mikael Gabriel']",Boboff Tape,2018-05-30
Töis (feat. Deezydavid),"['Cledos', 'DeezyDavid']",Töis (feat. Deezydavid),2017-06-05
BINGO!,"['Cledos', 'TheoFuego']",Boboff Tape,2018-05-30
Fendi Jeans,['Cledos'],Boboff Tape,2018-05-30
Marvel,"['Cledos', 'Bizi', 'MD$']",Boboff Tape,2018-05-30
Vintage Chanel,['Cledos'],Boboff Tape,2018-05-30
Mä,['Cledos'],Boboff Tape,2018-05-30
Swipe,"['Cledos', 'TIPPA', 'Gracias', 'MD$', 'Bizi', 'Mikael Gabriel']",Swipe,2018-05-09
Töis,"['Cledos', 'DeezyDavid']",Alo EP,2017-11-09
VOLKSWAGEN,"['MELO', 'ibe']",ELEKTRI,2019-11-20
Tonnin Stiflat,"['ibe', 'Sexmane', 'william']",Luota Muhun,2019-12-25
Paranoidi,['ibe'],IBELIUS,2019-01-29
39N,['ibe'],IBELIUS,2019-01-29
EDGY,"['ibe', 'Bizi', 'MELO']",IBELIUS,2019-01-29
Cudi,['ibe'],IBELIUS,2019-01-29
Kendama,"['ibe', 'TheoFuego']",IBELIUS,2019-01-29
Stadi On Kylmä,['ibe'],IBELIUS,2019-01-29
Ibelius,['ibe'],IBELIUS,2019-01-29
KERRO MULLE,['ibe'],NONSENSE,2018-05-01
SUDET,['ibe'],NONSENSE,2018-05-01
MUOTOKUVA,['ibe'],NONSENSE,2018-05-01
ONLINE - OFFLINE,['ibe'],NONSENSE,2018-05-01
NONSENSE,"['ibe', 'Vege']",NONSENSE,2018-05-01
Keskusteluja,"['ibe', 'DeezyDavid']",IBE,2017-10-13
Rakastuminen,['ibe'],IBE,2017-10-13
HEI,['ibe'],IBE,2017-10-13
Oma iTT3s,"['ibe', 'Cavallini & Shrty']",Oma iTT3s,2018-06-15
Vika Päivä,['ibe'],Vika Päivä / KIRPPARINARKKARI,2017-06-02
Monologi,['ibe'],Monologi,2017-01-01
Äänii,['Mouhous'],Äänii,2019-01-04
Likaset Vansit,['Mouhous'],Likaset Vansit,2019-09-20
Tonight (I'm Lovin' You),"['Enrique Iglesias', 'Ludacris', 'DJ Frank E']",Euphoria,2010
Lalala - Remix - [feat. Enrique Iglesias & Carly Rae Jepsen],"['Y2K', 'bbno$', 'Enrique Iglesias', 'Carly Rae Jepsen']",Lalala (Remix - [feat. Enrique Iglesias & Carly Rae Jepsen]),2019-10-30
TOES (feat. Lil Baby & Moneybagg Yo),"['DaBaby', 'Lil Baby', 'Moneybagg Yo']",KIRK,2019-09-27
We Are Not the Same,['Young Roc'],Fear of Floating,2018-06-01
ORANGE SODA,['Baby Keem'],ORANGE SODA,2019-07-16
Fuck It up (feat. Yg),"['Kamaiyah', 'YG']",A Good Night in the Ghetto,2016-03-23
Empire State Of Mind,"['JAY-Z', 'Alicia Keys']",The Blueprint 3,2009-09-08
If the World Was Ending (feat. Julia Michaels),"['JP Saxe', 'Julia Michaels']",If the World Was Ending (feat. Julia Michaels),2019-10-17
Ayy Macarena,['Tyga'],Ayy Macarena,2019-11-13
Juicy,"['Doja Cat', 'Tyga']",Juicy,2019-08-15
Lottery (Renegade),['K CAMP'],Wayy 2 Kritical,2019-06-21
Candy,['Doja Cat'],Amala,2018-03-30
Epäröimättä hetkeekään,"['Elastinen', 'Jenni Vartiainen']",Epäröimättä hetkeekään,2020-01-31
No Time To Die,['Billie Eilish'],No Time To Die,2020-02-13
Sukupuuttoon,['Nelli Matula'],Sukupuuttoon,2020-02-21
Hitaasti,['Evelina'],Hitaasti,2020-01-24
Physical,['Dua Lipa'],Physical,2020-01-30
Stupid Love,['Lady Gaga'],Stupid Love,2020-02-28
death bed (coffee for your head),"['Powfu', 'beabadoobee']",death bed (coffee for your head),2020-02-08
beibs in the trap,['Travis Scott'],Birds In The Trap Sing McKnight,2016-09-16
Doubt,['Twenty One Pilots'],Blurryface,2015-05-15
Superstar,['Jamelia'],Thank You,2003-06-30
All You Wanna Do,"['SIX', 'Aimie Atkinson']",Six: The Musical (Studio Cast Recording),2018-08-31
Tunnel of Love - Remix,"['ilyTOMMY', 'Savage Ga$p']",Tunnel of Love (Remix),2019-08-23
No Bitch,['Young Curt'],"This Shyt Dont Stop, Vol.1",2009-12-05
All The Time 2,['Wintertime'],All The Time 2,2016-10-21
Did Too Much,['LLusion'],Did Too Much,2019-12-15
stupid,['Tate McRae'],stupid,2019-12-06
Stop Snitchin,['YG'],4REAL 4REAL,2019-05-24
Yes Indeed - Gypsy Woman Mix,['Freddo'],Yes Indeed (Gypsy Woman Mix),2019-09-12
Go Stupid (feat. NLE Choppa & Mike WiLL Made-It),"['Polo G', 'Stunna 4 Vegas', 'NLE Choppa', 'Mike WiLL Made-It']",Go Stupid (feat. NLE Choppa & Mike WiLL Made-It),2020-02-14
dork,['Sueco'],MISCREANT,2019-09-20
Shop,['Toby Fox'],UNDERTALE Soundtrack,2016-06-03
Attention,['Todrick Hall'],"Haus Party, Pt. 1",2019-05-23
Hello?,"['Clairo', 'Rejjie Snow']",diary 001,2018-05-25
Mr. Clean,['Yung Gravy'],Snow Cougar,2018-05-04
Cha Cha,['Freddie Dredd'],Cha Cha,2019-03-22
Boys,['Lizzo'],Cuz I Love You (Super Deluxe),2019-04-17
My Way,['Queen Key'],Eat My Pussy,2018-06-01
Make You Mine,['PUBLIC'],Make You Mine,2019-08-09
Shake That,['Foe G4ng'],Having Fun at the Bottom of America,2017-06-20
Pull Up,['Luh Kel'],Mixed Emotions,2019-11-15
Wiggle It (feat. City Girls),"['French Montana', 'City Girls']",MONTANA,2019-12-06
Walls Could Talk,['Halsey'],hopeless fountain kingdom (Deluxe),2017-06-02
Savage,['Ocean x KungFu'],Savage,2019-08-09
Doin Too Much,['Kash Doll'],Stacked,2019-10-18
CITY OF ANGELS,['24kGoldn'],DROPPED OUTTA COLLEGE,2019-11-22
Bussin,['Tay Money'],Hurricane Tay,2019-12-06
SIX'FO,['ZaeHD & CEO'],HighDefGang Vol.1,2019-04-20
Liar,['BigKlit'],Liar,2019-07-23
Woah,['$wave'],Woah,2019-05-06
I Touch Myself,['Scala & Kolacny Brothers'],Dream On,2004-01-24
A Pimp Named Slickback,['Lakim'],A Pimp Named Slickback,2019-06-03
SLOW DANCING IN THE DARK,['Joji'],BALLADS 1,2018-10-26
Boys Will Be Bugs,['Cavetown'],Animal Kingdom: Comet,2018-12-11
Daddy (feat. Rich The Kid),"['Blueface', 'Rich The Kid']",Daddy,2019-06-14
Make His Pockets Hurt,['Lil Kayla'],Make His Pockets Hurt,2019-05-09
Face Like a Model,['Tre Coast'],Face Like a Model,2019-11-09
Skeezy Treesh,['3NIGMA'],Skeezy Treesh,2019-12-27
What If I Told You That I Love You,['Ali Gatie'],What If I Told You That I Love You,2020-01-24
Cannibal,['Kesha'],Cannibal,2010-11-19
You Broke My Heart Again,"['Teqkoi', 'Aiko']",You Broke My Heart Again,2018-10-13
Ready or Not,['Bridgit Mendler'],Hello My Name Is...,2012-01-01
My Heart Went Oops,['Tiagz'],My Heart Went Oops,2020-01-29
Working Bitch,['Ashnikko'],"Hi, It's Me",2019-07-12
Boys Ain't Shit,['SAYGRACE'],Boys Ain't Shit,2019-10-18
Førsterekka 2020,"['Ringnes-Ronny', 'DJ FITTE']",Førsterekka 2020,2019-01-01
Bad Boy,"['Yung Bae', 'bbno$', 'Billy Marchiafava']",Bad Boy,2019-06-21
Crimewave,['Crystal Castles'],Crystal Castles,2008-03-18
fast,['Sueco'],MISCREANT,2019-09-20
Lose Control,"['MEDUZA', 'Becky Hill', 'Goodboys']",Lose Control,2019-10-11
In My Head,['Jason Derulo'],Jason Derulo (International),2010-02-26
1999 She,['Deaton Chris Anthony'],BO Y,2019-11-20
Vibe,['Cookiee Kawaii'],Vibe,2019-03-29
Mambo No. 5 (a Little Bit of...),['Lou Bega'],A Little Bit of Mambo,1999-07-19
All Dat (with Megan Thee Stallion),"['Moneybagg Yo', 'Megan Thee Stallion']",Time Served,2020-01-10
Cradles,['Sub Urban'],Cradles,2019-01-04
Wait a Minute!,['WILLOW'],ARDIPITHECUS,2015-01-11
Crystal Dolphin,['Engelwood'],Crust Fm,2017-12-06
Be Gone Thot!,['LIL MAYO'],Be Gone Thot!,2019-08-30
Can't Take My Eyes off You,"['Craymer', 'AIIVAWN']",Can't Take My Eyes off You,2019-11-21
Cartier,"['Dopebwoy', 'Chivv', '3robi']",Cartier,2017-06-23
Ophelia,['The Lumineers'],Cleopatra,2016-04-08
Death (feat. DaBaby),"['Trippie Redd', 'DaBaby']",Death (feat. DaBaby),2019-11-12
Double Tap,"['Benji Reyes', 'Oso Faneto']",Double Tap,2018-10-12
No Face No Case,['Vinny West'],DRAFT DAY,2018-07-21
Lost Boys,"['Christopher Needle', 'Lil Toe', 'Bizarre', 'KAMASUTRA 9G']",Exile,2019-12-18
shining on my ex,"['bbno$', 'Yung Gravy']",i don't care at all,2019-11-08
Ligma,['Billy Marchiafava'],Ligma,2019-03-21
FML,['Arizona Zervas'],Living Facts,2018-06-03
Vibin',['Kesh Kesh'],Vibin',2019-05-31
Tunnel of Love,"['ilyTOMMY', 'Savage Ga$p']",Tunnel of Love,2019-02-16
Opaul,['Freddie Dredd'],Pink Lotus,2018-04-26
Erica,['Kid Travis'],No Labels,2020-01-31
Break My Stride,['Matthew Wilder'],I Don't Speak The Language,1983-03-19
Prom Queen,['Beach Bunny'],Prom Queen,2018-08-10
Moral of the Story,['Ashe'],Moral of the Story,2019-02-14
American Boy,"['Estelle', 'Kanye West']",Shine,2008-03-28
Need Me,['J.I the Prince of N.Y'],Hood Life Krisis Vol. 1,2019-10-11
HYMYPOIKA,['MELO'],ELEKTRI,2019-11-20
idontwannabeyouanymore,['Billie Eilish'],dont smile at me,2017-12-22
These Boys,['Adam Lambert'],The Original High (Deluxe Version),2015-06-11
Lame Niggaz,['Asian Doll'],Lame Niggaz,2017-11-06
Love Songs - Bonus,['Kaash Paige'],Parked Car Convos,2019-11-15
She,['dodie'],Human,2019-01-18
i wanna be your girlfriend,['girl in red'],i wanna be your girlfriend,2018-03-02
Here To Stay,['Meghan Trainor'],TREAT MYSELF,2020-01-31
"Falling for Ya - From ""Teen Beach Movie""/Soundtrack Version",['Grace Phipps'],Teen Beach Movie,2013-01-01
Trust,['Alina Baraz'],Trust,2020-01-17
I'll Kill You (feat. Jhené Aiko),"['Summer Walker', 'Jhené Aiko']",Over It,2019-10-04
You & I (Nobody in the World),['John Legend'],Love In The Future (Expanded Edition),2013-08-30
The Weekend,['SZA'],Ctrl,2017-06-09
Hetkeksi,['YOUNGHEARTED'],NUORISYDÄN,2016-04-29
Love Me Back,['Social House'],Everything Changed…,2019-08-09
Love Of My Life - Remastered 2011,['Queen'],A Night At The Opera (2011 Remaster),1975-11-21
Call Out My Name,['The Weeknd'],"My Dear Melancholy,",2018-03-30
Pretty,"['Landon Cube', '24kGoldn']",Pretty,2019-10-18
sex money feelings die,['Lykke Li'],so sad so sexy,2018-06-08
Haunt U,"['mysticphonk', 'Lil Peep']",Haunt U,2018-02-24
Musta Kuva,['SAMUEL'],Musta Kuva,2020-01-17
Fine China,"['Future', 'Juice WRLD']",Fine China,2018-10-15
The Question,"['Mac Miller', 'Lil Wayne']",Macadelic (Remastered Edition),2012-03-23
Too Much,"['Drake', 'Sampha']",Nothing Was The Same (Deluxe),2013-01-01
The Hills,['The Weeknd'],Beauty Behind The Madness,2015-08-28
Teenage Fever,['Drake'],More Life,2017-03-18
Privilege,['The Weeknd'],"My Dear Melancholy,",2018-03-30
Think About Me,['dvsn'],Morning After,2017-10-13
Luving U,['6LACK'],FREE 6LACK,2016-11-18
PEACE OF MIND,['PARTYNEXTDOOR'],COLOURS 2,2017-06-02
December (feat. Luca),"['anders', 'LUCA']",669,2017-05-25
Lights Out,['Nbdy'],Lights Out,2017-12-07
Sä,"['TIPPA', 'Bizi']",Sä / Zoneis,2017-04-25
Test & Recognise - Flume Edit,"['Seekae', 'Flume']",Test & Recognise (Remixes),2014-07-14
Loukku,['Sliki & Hamuelos'],Loukku,2019-05-22
Lust,['Lil Skies'],Life of a Dark Rose,2017-12-12
Bad For You,['Lil Tracy'],Bad For You,2019-08-30
Uusia kaatoi,['Konsta Original'],Uusia kaatoi,2019-09-20
Still Depressed,"['Kid Crave', 'Justin Stone']",Still Depressed,2020-01-17
The Take (feat. Chris Brown),"['Tory Lanez', 'Chris Brown']",Chixtape 5,2019-11-15
Cold World,['Teddy'],Teddy,2019-04-27
For You,['Trevor Daniel'],Homesick,2018-10-11
Without You,"['Promoting Sounds', '7ru7h']",Without You,2019-08-30
imperfect.,"['frzndisciple', 'XAM']",imperfect.,2019-12-26
THE DEVIL,['XAM'],THE DEVIL,2019-03-27
HELLP,['XAM'],HELLP,2020-02-28
Antisocial,['Oz Sparx'],Antisocial,2020-01-31
JUST ME,['KILLBOY'],JUST ME,2019-12-19
Splash,"['Ty James', 'unheard']",Splash,2019-02-01
WHEREDAFUCC,['KILLBOY'],WHEREDAFUCC,2019-12-05
Cry,['Oz Sparx'],Gunsmoke,2019-10-31
Broken Memories,['TheHxliday'],Broken Halls,2020-01-01
Nemesis,['TheHxliday'],Broken Halls,2020-01-01
Still Inside My (feat. Mistery),"['Andi', 'The Mistery']",Still Inside My (feat. Mistery),2017-09-13
So Invisible,['Nick Bonin'],So Invisible,2020-02-21
Mistakes,['TheHxliday'],Mistakes,2019-12-27
I Can't Sleep,"['POORSTACY', 'iann dior']",I Can't Sleep,2020-01-31
make up,['POORSTACY'],i don't care,2019-09-13
Lucky Me,['Vory'],Lucky Me,2018-08-17
Yksin Et Ikinä Jää,['Adizi X Typelik'],Yksin Et Ikinä Jää,2018-08-21
Thank You [Not So Bad],"['VIZE', 'Felix Jaehn']",Thank You [Not So Bad],2020-02-07
16v,"['Cavallini & Shrty', 'Gettomasa', 'Cavallini']",16v,2020-01-31
Heart On Ice,['Rod Wave'],PTSD,2019-06-14
Whole Lotta Lovin',"['Mustard', 'Travis Scott']",Whole Lotta Lovin',2016-01-08
All the Time,['Zara Larsson'],All the Time,2019-06-21
Jenny (I Wanna Ruin Our Friendship),['Studio Killers'],Jenny,2013-05-03
Old Yeller,['Fokin Osk'],She Don't Care If I Die,2019-06-04
Hardest To Love,['The Weeknd'],After Hours (Deluxe),2020-04-03
Missed You - Bonus Track,['The Weeknd'],After Hours (Deluxe),2020-04-03
Save Your Tears,['The Weeknd'],After Hours (Deluxe),2020-04-03
Until I Bleed Out,['The Weeknd'],After Hours (Deluxe),2020-04-03
After Hours,['The Weeknd'],After Hours (Deluxe),2020-04-03
PTSD,"['G Herbo', 'Juice WRLD', 'Lil Uzi Vert', 'Chance the Rapper']",PTSD,2020-02-28
In Your Eyes,['The Weeknd'],After Hours,2020-03-20
FIND MY WAY,['DaBaby'],FIND MY WAY,2020-04-01
Toosie Slide,['Drake'],Toosie Slide,2020-04-03
Viaton,['MELO'],Viaton,2020-03-25
16v,"['Cavallini & Shrty', 'Gettomasa']",10/10,2020-02-14
Drinking Problem,"['Arizona Zervas', '27CLUB']",Drinking Problem,2019-06-27
BLACKOUT,['Lil Kapow'],BLACKOUT,2019-09-20
Dior,['Pop Smoke'],Meet The Woo,2019-07-26
In The End - Mellen Gi Remix,"['Tommee Profitt', 'Fleurie', 'Mellen Gi']",In The End,2019-03-22
Sori en oo pahoillani,['Mouhous'],I Hate Mouhous,2020-02-21
Supalonely,"['BENEE', 'Gus Dapperton']",STELLA & STEVE,2019-11-15
P2,['Lil Uzi Vert'],Eternal Atake,2020-03-06
WHATS POPPIN,['Jack Harlow'],WHATS POPPIN,2020-01-21
Heatin Up (feat. Gunna),"['Lil Baby', 'Gunna']",My Turn,2020-02-28
That Way,"['Lil Uzi Vert', 'WanMor']",That Way,2020-03-01
Envy Me,['Calboy'],Envy Me,2018-12-13
100k On A Coupe (feat. Calboy),"['Pop Smoke', 'Calboy']",100k On A Coupe,2019-12-13
